prenom_cle,exemple_auteur_complet,genre_estime
rabah,Rabah Mazouzi,unknown
rabia,Rabia Azzi,female
rabie,Rabie Saidi,male
rabih,Rabih Taleb,male
rachid,Rachid El Meziane,male
radhia,Radhia Ben Hamed,unknown
radhouane,Radhouane Guermazi,unknown
radja,Radja Messai,unknown
rafik,Rafik Abdesselam,male
rahma,Rahma Cherif,unknown
raja,Raja Chiky,mostly_male
rakia,Rakia Jaziri,unknown
rallou,Rallou Thomopoulos,unknown
rami,Rami BELKAROUI,male
rania,Rania Gasri,female
raphaël,Raphaël Feraud,male
reda,Reda Mohamed Hamou,female
rena,Rena Nemoto,female
renata,Renata Ghisloti,female
renaud,Renaud Hostache,male
rene,Rene Quiniou,male
rené-michel,René-Michel Faure,unknown
reynald,Reynald Eugenie,male
riadh,Riadh Ben Messaoud,male
ricardo,Ricardo Baeza-Yates,male
ricco,Ricco Rakotomalala,male
richard,Richard Chbeir,male
rim,Rim Faiz,female
robert,Robert Laurini,male
roberto,Roberto Marroquin,male
robin,Robin Brochier,mostly_male
rodolphe,Rodolphe Priam,male
rokia,Rokia Bendaoud,unknown
roland,Roland Kotto-Kombi,male
romain,Romain Guigourès,male
ronan,Ronan Fablet,male
rosanna,Rosanna Verde,female
rosanne,Rosanne Vetro,female
rose,Rose Dieng-Kuntz,female
rosine,Rosine Cicchetti,female
rostand,Rostand Affogbolo,unknown
ruggero,Ruggero G. Pensa,male
rushed,Rushed Kanawati,unknown
régis,Régis Gras,male
rémi,Rémi Lehn,male
rémy,Rémy Kessler,male
saaid,Saaid Baraty,unknown
sabeur,Sabeur Aridhi,unknown
sabiha,Sabiha Tahrat,female
sabine,Sabine Loudcher,female
sadok,Sadok Ben Yahia,unknown
said,Said Jabbour,male
salima,Salima Benbernou,female
salma,Salma Chaieb,female
salvatore-antoine,Salvatore-Antoine Tabbone,unknown
samah,Samah Reguigui,female
sameh,Sameh Megrhi,female
sami,Sami Faiz,male
samir,Samir Amir,male
samira,Samira Hammiche,female
samuel,Samuel Phan,male
samy,Samy Ait-Bachir,male
sandra,Sandra Bringay,female
sandro,Sandro Bimonte,male
sandy,Sandy Maumus,mostly_female
santo,Santo Fortunato,male
saoussen,Saoussen Sakji,unknown
sarah,Sarah Cohen Boulakia,female
sarra,Sarra Bouzayane,unknown
saso,Saso Dzeroski,unknown
sathya,Sathya Prabhu Kumar,unknown
sayda,Sayda Elmi,female
saïd,Saïd Karouach,unknown
schahrazed,Schahrazed Zeghache,unknown
seifeddine,Seifeddine Mechti,unknown
selim,Selim Mimaroglu,male
serge,Serge Fenet,male
sergei,Sergei O. Kuznetsov,male
sergio,Sergio Rodrigues de Morais,male
sergiu,Sergiu Theodor Chelcea,male
shigeru,Shigeru Takano,male
shin,Shin Ando,andy
shin’ichi,Shin’Ichi Satoh,unknown
shohei,Shohei Yokoyama,male
siham,Siham Boulaknadel,female
sileye,Sileye O. Ba,unknown
simon,Simon Marcellin,male
siwar,Siwar Zribi Boujelbene,unknown
sofian,Sofian Maabout,male
sofiane,Sofiane Ben Amor,male
sonia,Sonia Djebali,female
souhir,Souhir Gahbiche,unknown
soumia,Soumia Melzi,female
stan,Stan Matwin,male
stanislas,Stanislas Lew,male
stavrakas,Stavrakas Yannis,unknown
stefan,Stefan Trausan-Matu,male
stefano,Stefano Perabò,male
stephan,Stephan Bernard,male
sterenn,Sterenn Liberge,unknown
stéfan,Stéfan Jacques Darmoni,unknown
stéphane,Stéphane Lallich,mostly_male
stéphanie,Stéphanie Chapaux,female
suela,Suela Isaj,female
sujeevan,Sujeevan Aseervatham,unknown
suzanne,Suzanne Pinson,female
sylvain,Sylvain Ferrandiz,male
sylvaine,Sylvaine Le Minor,female
sylvie,Sylvie Guillaume,female
sylwia,Sylwia Ozdowska,female
sènami,Sènami C Fréjus Ahomagnon,unknown
sébastien,Sébastien Derivaux,male
séverine,Séverine Kirchner,female
tahar,Tahar Kechadi,male
taimur,Taimur Qureshi,unknown
takao,Takao Miura,male
takeaki,Takeaki Uno,male
talel,Talel Abdesssalem,unknown
tao,Tao Wan,andy
tao-yuan,Tao-Yuan Jen,unknown
taoufik,Taoufik Yeferny,male
tarek,Tarek Hamrouni,male
tarn,Tarn Duong,unknown
tassadit,Tassadit Bouadi,unknown
ted,Ted Gueniche,male
teddy,Teddy Turmeaux,male
teh,Teh Amouh,unknown
thabet,Thabet Slimani,unknown
thanh-nghi,Thanh-Nghi Do,unknown
thanh-trung,Thanh-Trung Van,unknown
the,The Anh Dang,mostly_female
thi-bich-hanh,Thi-Bich-Hanh Dao,unknown
thi-bich-ngoc,Thi-Bich-Ngoc Hoang,unknown
thierno,Thierno Diallo,unknown
thierry,Thierry Urruty,male
thomas,Thomas Guyet,male
thérèse,Thérèse Libourel,female
tianyang,Tianyang Liu,unknown
tias,Tias Guns,unknown
tim,Tim Van de Cruys,male
tita,Tita Kyriacopoulou,female
toader,Toader Gherasim,male
tomàs,Tomàs Aluja-Banet,unknown
tony,Tony Bourdier,male
toon,Toon Calders,male
torben,Torben Bach Pedersen,male
torsten,Torsten Schaub,male
tova,Tova Milo,female
trinh,Trinh Minh Tri Do,mostly_female
troullinos,Troullinos Michalis,unknown
tsitsanis,Tsitsanis Anastasios,unknown
tugdual,Tugdual Sarazin,male
tuong-vinh,Tuong-Vinh Truong,unknown
tuyet-tram,Tuyet-Tram Dang-Ngoc,unknown
usama,Usama M. Fayyad,male
valentin,Valentin Loux,male
valentina,Valentina Ceausu,female
valeriu,Valeriu Cornea,male
valery,Valery Teguiak,male
valérie,Valérie Beaudouin,female
van-hoa,Van-Hoa Nguyen,unknown
vanda,Vanda Luengo,female
vasile-marian,Vasile-Marian Scuturici,unknown
victor,Victor Codocedo,male
victoria,Victoria Eugenia Ospina,female
viet,Viet Phan Luong,male
vincent,Vincent Lemaire,male
violaine,Violaine Antoine,female
virginie,Virginie Lefort,female
vivien,Vivien Kraus,mostly_female
vladislav,Vladislav Matviico,male
véronique,Véronique Delcroix,female
wagner,Wagner Meira Jr,male
wahiba,Wahiba Ben Abdessalem Karaa,female
wajdi,Wajdi Dhifli,male
walid,Walid Erray,male
wassim,Wassim Khaskhoussi,male
wedjene,Wedjene Khiari,unknown
wei,Wei Wang,andy
wen,Wen Zhang,andy
wided,Wided Souidène,unknown
wilfried,Wilfried Despagne,male
william,William Raynaut,male
willy,Willy Ugarte,male
wissam,Wissam Siblini,mostly_male
xavier,Xavier Dolques,male
xiaoyue,Xiaoyue Ma,unknown
xinyu,Xinyu Wang,unknown
xuan-hiep,Xuan-Hiep Huynh,unknown
yacine,Yacine Sam,male
yahia,Yahia Slimani,unknown
yahya,Yahya Slimani,male
yakoub,Yakoub Salhi,unknown
yann,Yann Dauxais,male
yannick,Yannick Toussaint,male
yasmine,Yasmine Mesbahi,female
yassine,Yassine Benabbas,male
yelen,Yelen Per,unknown
yeow,Yeow Wei Choong,unknown
yi,Yi Yu,andy
yoan,Yoan Chabot,male
yoann,Yoann Pitarch,male
yoanne,Yoanne Didry,unknown
youcef,Youcef Bouziane,male
younes,Younes Abid,male
younès,Younès Bennani,unknown
yousra,Yousra Chabchoub,female
youssef,Youssef Hadi,male
yuan,Yuan Lin,andy
yudi,Yudi Augusta,unknown
yue,Yue Feng,andy
yuichiro,Yuichiro Kase,male
yves,Yves Lechevallier,male
zahi,Zahi Jarir,male
zahir,Zahir Maazouzi,male
zahra,Zahra Kebaili,female
zaia,Zaia Alimazighi,unknown
zaineb,Zaineb Chelly Dagdia,unknown
zakaria,Zakaria Boulouard,male
zakia,Zakia Kazi Aoul,female
zaïdi,Zaïdi Sahnoun,unknown
zbigniew,Zbigniew W. Ras,male
zhi,Zhi Cheng,andy
ziad,Ziad Mansouri,male
zina,Zina Bouattou,female
zohra,Zohra Bellahsene,female
zoltan,Zoltan Miklos,unknown
zoubida,Zoubida Kedad,unknown
zoulikha,Zoulikha Heddadji,female
éric,Éric Gaussier,unknown
étienne-cuvelier,Étienne-Cuvelier,unknown
